symbol,price,market_cap,sector
ELGIRUBCO.NS,52.75,264,Consumer Cyclical
ELIN.NS,122.95,611,Industrials
ELITECON.NS,37.1,0,
ELLEN.NS,266.0,3748,Basic Materials
ELPROINTL.NS,108.8,1843,Unknown
EMAMILTD.NS,445.0,19424,Consumer Defensive
EMAMIPAP.NS,79.0,477,Basic Materials
EMAMIREAL.NS,89.0,463,Real Estate
EMCURE.NS,1695.5,32144,Healthcare
EMIL.NS,125.0,4809,Consumer Cyclical
EMKAY.NS,223.54,588,Financial Services
EMMBI.NS,83.91,161,Consumer Cyclical
EMMVEE.NS,262.49,18173,Technology
EMSLIMITED.NS,348.0,1932,Industrials
EMUDHRA.NS,486.8,3993,Technology
ENDURANCE.NS,2330.0,32774,Consumer Cyclical
ENGINERSIN.NS,253.2,14230,Industrials
ENIL.NS,118.1,562,Communication Services
ENRIN.NS,3280.0,116807,Utilities
ENTERO.NS,1208.0,5256,Healthcare
EPACK.NS,281.5,2708,Consumer Cyclical
EPACKPEB.NS,201.7,2029,Industrials
EPIGRAL.NS,1197.6,5166,Basic Materials
EPL.NS,227.35,7280,Consumer Cyclical
EQUITASBNK.NS,66.8,7623,Financial Services
ERIS.NS,1321.0,18301,Healthcare
ESABINDIA.NS,6295.0,9689,Industrials
ESAFSFB.NS,26.49,1366,Financial Services
ESCORTS.NS,3278.0,36066,Industrials
ESSARSHPNG.NS,26.99,561,Industrials
ESTER.NS,89.55,873,Basic Materials
ETERNAL.NS,246.6,226721,Consumer Cyclical
ETHOSLTD.NS,2400.0,6421,Consumer Cyclical
EUREKAFORB.NS,504.9,9769,Consumer Cyclical
EUROBOND.NS,173.5,425,Industrials
EUROPRATIK.NS,270.7,2766,Basic Materials
EVEREADY.NS,333.0,2420,Industrials
EVERESTIND.NS,379.0,600,Industrials
EXCELINDUS.NS,955.05,1200,Basic Materials
EXCELSOFT.NS,93.0,1070,Technology
EXICOM.NS,115.5,1606,Industrials
EXIDEIND.NS,359.5,30557,Consumer Cyclical
EXPLEOSOL.NS,817.0,1267,Technology
FABTECH.NS,170.0,755,Healthcare
FACT.NS,901.0,58301,Basic Materials
FAIRCHEMOR.NS,558.1,702,Basic Materials
FAZE3Q.NS,446.0,1082,Consumer Cyclical
FCL.NS,23.0,2678,Basic Materials
